,Train_loss,Valid_loss,Train_SE,Valid_SE
0,3.0,3.0,4.768452256055861,4.09522750166191
1,1.431154182717271,1.074308468721482,4.207983051050695,4.294092023290698
2,1.0169773272438816,0.9116655721999836,6.674509190995316,5.67399738839587
3,0.8062024992760475,0.7481825585600185,5.551656189877232,5.927128960772931
4,0.6316065297831029,0.5402671677055403,7.413167504829939,7.222206866070801
5,0.4870165586194898,0.4463090992630162,7.205458037730914,5.705088737713165
6,0.4147022010548704,0.2888778308438648,7.217095586929762,8.227497244527328
7,0.3215371049722255,0.2428598405323222,6.521942690868999,7.711127492732473
8,0.2513590655207439,0.2665853130959063,6.922902254072422,7.974992971998866
9,0.2247708587946961,0.1986385356899467,9.2435565646439,8.509241126074592
10,0.2195531191768746,0.2256960345471022,8.775089101793151,8.436010384156289
11,0.1667212400461314,0.1710886669916459,8.0379350207178,8.5508052500804
12,0.1804436392206706,0.1648577908698106,8.429889836285486,8.30047576493468
13,0.1553963625604396,0.1189823106744833,9.675618869129265,9.296030062927116
14,0.1763141461055274,0.1239786031156792,8.145936453398251,8.501647603447516
15,0.136229090369001,0.2098054850539234,10.355135017643425,9.325860301792371
16,0.1605093614985837,0.1826149790226962,9.891959434784273,8.904562086515751
17,0.1348723328107339,0.1795380345795602,10.640656009365191,10.092143910357724
18,0.1339675678790201,0.2478726710874962,8.713638161916865,8.808502800727815
19,0.1484415302832326,0.1227705672138334,9.397804210427006,9.154835605163523
20,0.1466977460956383,0.1081091804130766,10.266407793915524,9.249534083343864
21,0.1063488756822645,0.1881350298317615,8.261622584231551,9.856495209782006
22,0.1296939850016958,0.0806200920869862,10.56971352380526,10.271683880685911
23,0.1097383761707154,0.1635099352702216,10.212318811166515,9.9571817630733
24,0.1187893243594902,0.1353391861888333,10.621763727712645,10.700482525949997
25,0.127986356210827,0.1051553313203688,11.141716366402314,10.474131558335827
26,0.1261220907772771,0.1450383181968156,10.006290863979702,10.178311913910479
27,0.1253555398813603,0.0836918988721959,10.273943585751368,11.026059044911198
28,0.1222910620853992,0.1734614315042299,11.363568879094956,9.732326601609696
29,0.1053085478995433,0.0980990238255709,11.002489866952997,10.42270865448964
30,0.1140301868900592,0.0987937312665384,11.515652371500687,10.470467622549238
31,0.1121002569270234,0.1108223613732094,11.326259015507478,11.485374254542966
32,0.1101575943267056,0.0785326128099251,10.800408722648054,10.698590681899853
33,0.106034447839503,0.1432054787487086,11.34493213242374,10.77772214035128
34,0.1141381114044213,0.1275056488466302,11.5375917943737,11.33054701997694
35,0.1080901018811051,0.0940511143223203,10.668467442577798,11.01983705186931
36,0.0966865576294575,0.061239049664753,10.741997858424675,10.264022720592864
37,0.1030079771660888,0.1608474645578225,11.847572788420422,11.641081732123165
38,0.104521562032322,0.1362356954706409,11.469767481381664,11.220672370321813
39,0.0957656504201094,0.1100689007476791,11.183533107271211,11.030497909014166
40,0.1260046407082057,0.0683362729325248,11.440875004060851,10.846666744990753
41,0.0909476732424705,0.0736970814254114,10.988294292838011,10.76923488172347
42,0.0882637971122229,0.0620146217452269,11.771804726174896,11.507367037526178
43,0.0948397660190473,0.0796575662843461,11.45254392380126,11.17775231293476
44,0.0994471152739461,0.0705313704968237,11.96658176722255,11.98434977432734
45,0.0885483671957504,0.1120922854271505,11.638956151539558,12.133736285793141
46,0.0887530984544406,0.0890186661501087,11.478145671022975,11.531279455326144
47,0.0754611352201227,0.0897213243007913,10.858965038875645,9.66534563123145
48,0.114892651505564,0.0629751668485846,11.32062907272672,10.797695782499844
49,0.0827810624506237,0.0810381436409321,11.740480067965631,12.052306289904791
50,0.0954501270489414,0.082422056739959,11.585218042483532,11.449086003305911
51,0.1197952319423452,0.1044831297830869,11.24842480184746,11.56993501414796
52,0.0829484660692241,0.0697680459209533,11.459512147500371,11.630616330027305
53,0.0993972640686982,0.1010169500768944,11.350364897255025,10.678517134263952
54,0.0981433870920525,0.0786662245854573,11.04461025864472,11.915095593584986
55,0.0896613707343617,0.0762748332474509,11.245364513560084,10.970077338759088
56,0.0897637802905764,0.0831298323115052,11.466274215777824,10.941687267793565
57,0.0863712990013992,0.1165946858785872,11.993572909128751,11.515890113416123
58,0.1026069081364223,0.1336171566501808,11.17132407822418,11.150665226988043
59,0.089789889340127,0.0790837465961627,11.786914778953935,11.249451836328056
60,0.0835351603457567,0.0448334092422607,12.242575693968995,12.105748893422007
61,0.1060250777637311,0.0908424933408417,12.028675101501868,11.991955235688375
62,0.087756245520281,0.1013358107918522,12.066351974474504,11.397753922417635
63,0.0881714353385283,0.1124859355526935,11.953141451964328,12.140825894413577
64,0.088089294709789,0.0806721113783638,12.113710391426807,11.853259768656528
65,0.0817973510560243,0.0687465989324615,11.991882067731204,11.89371030444024
66,0.0890092723061267,0.0808810897947809,11.721621540504486,10.857897962264705
67,0.0968479424860502,0.1192408225152039,11.533091181849425,11.0359867426983
68,0.1077385362915976,0.1008081123186593,10.58190519438041,10.197988799982124
69,0.0774160192012184,0.0949743989386125,11.37427540986182,11.056838354072818
70,0.1017066873990193,0.0803604746529879,11.721093111044752,11.543238733305312
71,0.0794527993786385,0.0403136345448766,12.150343167066698,12.464177460391948
72,0.0703132053900079,0.0398376565583598,11.646101942052422,11.655600148283591
73,0.0844377291059303,0.1105082164079121,12.037429692660549,11.646764115686672
74,0.0908745632401091,0.1188384439829851,12.763783595767617,12.350269699638432
75,0.0795998871491332,0.0211050817178734,11.110776111453823,11.219634844603284
76,0.0870780104041299,0.0321696709153027,11.874142435800922,11.391818119046652
77,0.0911727672832053,0.0706953351036971,11.093898379998398,11.643263311769523
78,0.0822328536931914,0.0822079970729189,11.7565634560255,11.618999796840894
79,0.0850856004515496,0.0518448488833282,12.183962928077122,11.46300729102539
80,0.0757159748326645,0.0579720939817113,11.298697522698202,11.771605453350277
81,0.0986772453275515,0.1138420072020457,11.345528298963504,12.023298361638162
82,0.0792734243327199,0.0511779923121299,11.868610786028224,11.840807178864043
83,0.0915753413789738,0.0982365147935103,11.410477663382405,11.038093306610898
84,0.0858392565377647,0.0891756865011846,11.61357887282501,11.745566677358612
85,0.0836004289134272,0.0632213935865944,12.673976126460289,12.533371034552339
86,0.0946150868190927,0.0381876505029119,11.37976688368116,11.349135782682716
87,0.0843874451956684,0.0564738380915096,12.943584595163252,12.06289918648374
88,0.0739927588482248,0.111369693670573,12.25524036332017,12.266871988143091
89,0.0662857801284068,0.0663807770198414,12.382606179633683,11.726365702527213
90,0.0635555814119727,0.1047102656630949,12.48995967327237,12.738562758932467
91,0.0699869832544108,0.0642979739188657,12.134301770389698,11.640649993624912
92,0.0683103092384329,0.0707531764188927,12.527173141595249,12.558744074888388
93,0.0805477139765322,0.1374328733887415,12.30273023596843,12.500641005348847
94,0.089637952501923,0.0934175961941145,12.355445558898644,12.244110445794568
95,0.0699639614040882,0.0780224744480022,12.152701020165495,12.207721416359021
96,0.0683642379827281,0.0396393486591249,12.719958766933576,11.97680478144284
97,0.0677015139948435,0.0438109950354976,12.335135675641641,12.33221827881544
98,0.0627726074219321,0.0582262469078631,11.842362692639302,11.657895062967704
99,0.0772714423733615,0.097958394271657,11.244047414657029,11.41415447640828
100,0.0858847085403321,0.0649610616711818,12.253685191443545,11.51565102926898
101,0.0718435227830212,0.1076656391805635,13.03563554269845,12.587447329018453
102,0.0838965400493942,0.0578886838912592,11.682267335599551,11.860600987907144
103,0.0674170839654124,0.0641780555470682,12.083703293431846,11.909251712205576
104,0.0592669958433858,0.0879999091637973,11.86361878282446,11.934370405946526
105,0.0683499360568816,0.0528389017230466,11.804817038974798,11.839754894806157
