,train_loss,valid_loss,cap_train,cap_valid
0,2.335017045321122,2.27004631104329,4.437667574870909,4.568674117937382
1,1.990897173966096,1.9363575868013463,4.4952714605469355,4.6239368748038085
2,1.6515976299458823,1.6052595643292027,4.592124289867519,4.716228332011852
3,1.4039032976533876,1.3663218705051303,4.684581460118929,4.802973865700398
4,1.163610744250501,1.1322283746638897,4.811373168154139,4.9223636530597705
5,1.028036792195875,1.0124580387390665,4.949930997368112,5.052465391890182
6,0.9518291768807755,0.9370572292858292,5.079036819388126,5.172664541514649
7,0.8515216328372025,0.8400863864655806,5.235994462830246,5.319707812979191
8,0.7893089535916405,0.7774202111422978,5.380671216124448,5.454417225982343
9,0.7024112532031256,0.6892471833304034,5.549459214191108,5.612619571437766
10,0.604610818665152,0.5940455542086425,5.7217766490005575,5.774284443326275
11,0.5544786740941698,0.5444959900285256,5.878352419994815,5.920671146566265
12,0.48910211135518067,0.4832371027311739,6.053576073828068,6.085890446742095
13,0.4529661975949031,0.44571636060481296,6.204194918194724,6.228198458795292
14,0.40534845884169385,0.3984717848083726,6.366999698663232,6.3834570700316
15,0.36702315669669405,0.3590011264758112,6.525455227680239,6.536599706860365
16,0.33989556512358104,0.33329023832426385,6.665518176653661,6.672642803488847
17,0.3045492583413936,0.29831116330564045,6.822057138237421,6.823565902515846
18,0.2900073058706989,0.27814410988441524,6.959849634227428,6.9555997738859645
19,0.26481879988282825,0.25386032109394185,7.111234333628386,7.100052552524656
20,0.24405723262899676,0.2331013257318209,7.261877059774898,7.243767539935696
21,0.229682557160173,0.2183521966418122,7.397307598528768,7.373229422496201
22,0.21323568887563588,0.20337943856855664,7.541049347787653,7.513810154404902
23,0.2018852025266291,0.1964603058296997,7.66358261807014,7.63602352452662
24,0.1896394343571824,0.1910790484214906,7.795909205623584,7.768038509080449
25,0.17515615847842972,0.18050078993907942,7.922028415737446,7.895237295169632
26,0.1671760275207388,0.1748056535279781,8.029615791941097,8.00423452031442
27,0.15959134071386286,0.17368699075682792,8.146516771694186,8.122815207984418
28,0.15597961698403137,0.16883694329126084,8.244947281631529,8.223922198118457
29,0.15047749467055752,0.16377412808944597,8.352916438375537,8.333426367151834
30,0.14978199747946733,0.1651627915619936,8.456411166138775,8.43688866630997
31,0.1489158065563075,0.16020349941439657,8.544517173674832,8.523365147795191
32,0.14416763282182812,0.15853324038720715,8.641143436817613,8.61598483880447
33,0.1420848686459789,0.1537111566001089,8.722162749545689,8.692451957827995
34,0.1423952985095168,0.14293697462368105,8.811819987815298,8.77709696877594
35,0.1397787258286379,0.13279164693042447,8.898266929628932,8.858458082800869
36,0.13848992213625397,0.12644053620671988,8.970670999247613,8.926403588331459
37,0.13492077112184686,0.12125173327964907,9.050560543032518,9.001862332291566
38,0.1349480352192294,0.12003802254560467,9.117383914056566,9.065456215470471
39,0.13378758662522441,0.11896594775719181,9.192685131861536,9.136929799863472
40,0.13142653164197976,0.11698640402166889,9.2648429037274,9.20640737575978
41,0.12633947194779901,0.11854782420296117,9.324871807785787,9.264326379837046
42,0.12317352698389397,0.11799560371495832,9.390862389430387,9.329165889543518
43,0.11633997622657336,0.11740055144468527,9.445440788613142,9.382484657811531
44,0.1134600508851137,0.11476067671363362,9.505749458017025,9.442328721388133
45,0.11120024966276486,0.11759070079613104,9.561769821323534,9.498455042299184
46,0.1127538035318939,0.11931430859484349,9.60644503514314,9.543373002035455
47,0.11042214490601138,0.11502001305166254,9.658523029358783,9.594975817191642
48,0.10949590449586499,0.1155896019659732,9.701345183480552,9.636654357359896
49,0.10828508262698834,0.11613500984489666,9.75009276287726,9.68272089869749
50,0.10596664856402446,0.11896927599501093,9.795639554760035,9.727831975563358
51,0.10696213630746797,0.12178281990943472,9.831156224796013,9.762615984925825
52,0.10657858623485038,0.11985809048325287,9.86979475662722,9.800859965848563
53,0.10754084328675478,0.11997013390381304,9.904454319499145,9.831937406531203
54,0.10902945809059787,0.12047836824519646,9.941262164835829,9.864274487604858
55,0.10669816875101565,0.11863841093043367,9.975750055538452,9.895085251429137
56,0.10664795328557347,0.11509114803404154,10.009483736452337,9.92448932648553
57,0.10732105536965696,0.10820202106466197,10.042920788228805,9.95352984845096
58,0.10713010761078606,0.09852155757399754,10.07549275454489,9.981452243550285
59,0.10453622205793069,0.09358060118815416,10.103825643474323,10.00861668814025
60,0.10190365547120575,0.09179028271534255,10.13501583169236,10.03490727338036
61,0.0968283714342156,0.09490808497751917,10.158909623770562,10.057025229705333
62,0.09763375981985369,0.09560518532217539,10.186157415672321,10.08621110446449
63,0.09574412080330018,0.09925178213931381,10.20685369163195,10.106937154305147
64,0.09530366317812998,0.10027780918150335,10.227632875783563,10.127096875729565
65,0.09283569474340074,0.10289208756002549,10.242656944696659,10.144930947183713
66,0.08975792179554187,0.10133301091446355,10.260044667305214,10.165336150546082
67,0.08858375980520519,0.09559816393876859,10.278655358492326,10.18504669096481
68,0.09102518248063599,0.09548806949018157,10.296288785246508,10.201668795900845
69,0.09504974852112415,0.09743809665948865,10.316057330635271,10.219177331796704
70,0.09589888478613685,0.10225735605121519,10.339367662883724,10.24087633231136
71,0.09542589806639631,0.1031730075689258,10.360668933512686,10.259158343720186
72,0.09560053537756147,0.10078583847080771,10.381510010430569,10.284748914000646
73,0.0957692771356403,0.10217373129724991,10.40398494210609,10.304670410751234
74,0.09535635905234906,0.10291666568825678,10.423287970772193,10.323208153219692
75,0.09459446802341433,0.0992969799789831,10.441618753335442,10.341795309728452
76,0.09322106038951004,0.09712151349257271,10.459517189369265,10.358802317254549
77,0.09003549263078417,0.09698191403080161,10.479197184596096,10.378197605917642
78,0.09022622565669748,0.09313948531967417,10.498653773573604,10.393498789801551
79,0.08895587027949063,0.09495061797084646,10.514458461219284,10.408284614669405
